acq_week,week,tenure,acq_quarter,merchant_index,merchant,parent_merchant,category,subcategory,N_week_cohort,active_users,orders,rpt_orders,spend,rpt_spend
2017-03-12,2019-01-27,98,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,68,144,144,1205.091,1205.091
2017-03-12,2019-02-03,99,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,67,155,155,1237.101,1237.101
2017-03-12,2019-02-10,100,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,70,149,149,1126.97,1126.97
2017-03-12,2019-02-17,101,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,70,167,167,1275.082,1275.082
2017-03-12,2019-02-24,102,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,70,134,134,1089.341,1089.341
2017-03-12,2019-03-03,103,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,64,136,136,1098.811,1098.811
2017-03-12,2019-03-10,104,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,57,145,145,951.9,951.9
2017-03-12,2019-03-17,105,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,60,133,133,935.101000000001,935.101000000001
2017-03-12,2019-03-24,106,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,60,122,122,891.12,891.12
2017-03-12,2019-03-31,107,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,66,126,126,1061.361,1061.361
2017-03-12,2019-04-07,108,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,62,130,130,925.991000000001,925.991000000001
2017-03-12,2019-04-14,109,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,60,139,139,927.82,927.82
2017-03-12,2019-04-21,110,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,68,153,153,1184.082,1184.082
2017-03-12,2019-04-28,111,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,61,132,132,910.701000000001,910.701000000001
2017-03-12,2019-05-05,112,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,55,124,124,978.011000000001,978.011000000001
2017-03-12,2019-05-12,113,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,52,115,115,793.58,793.58
2017-03-12,2019-05-19,114,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,51,108,108,714.84,714.84
2017-03-12,2019-05-26,115,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,58,131,131,799.991000000001,799.991000000001
2017-03-12,2019-06-02,116,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,51,114,114,884.811000000001,884.811000000001
2017-03-12,2019-06-09,117,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,46,111,111,821.751000000001,821.751000000001
2017-03-12,2019-06-16,118,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,44,117,117,829.75,829.75
2017-03-12,2019-06-23,119,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,51,117,117,825.461000000001,825.461000000001
2017-03-12,2019-06-30,120,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,39,90,90,592.94,592.94
2017-03-12,2019-07-07,121,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,86,86,539.19,539.19
2017-03-12,2019-07-14,122,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,104,104,699.861000000001,699.861000000001
2017-03-12,2019-07-21,123,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,46,101,101,648.06,648.06
2017-03-12,2019-07-28,124,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,105,105,678.13,678.13
2017-03-12,2019-08-04,125,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,42,118,118,1031.252,1031.252
2017-03-12,2019-08-11,126,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,47,111,111,791.491000000001,791.491000000001
2017-03-12,2019-08-18,127,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,50,113,113,874.771000000001,874.771000000001
2017-03-12,2019-08-25,128,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,49,125,125,1116.441,1116.441
2017-03-12,2019-09-01,129,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,53,122,122,912.572000000002,912.572000000002
2017-03-12,2019-09-08,130,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,41,95,95,697.5,697.5
2017-03-12,2019-09-15,131,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,50,123,123,1056.912,1056.912
2017-03-12,2019-09-22,132,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,39,104,104,591.68,591.68
2017-03-12,2019-09-29,133,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,101,101,771.851000000001,771.851000000001
2017-03-12,2019-10-06,134,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,45,96,96,846.801000000001,846.801000000001
2017-03-12,2019-10-13,135,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,48,99,99,1098.123,1098.123
2017-03-12,2019-10-20,136,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,54,120,120,1002.361,1002.361
2017-03-12,2019-10-27,137,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,46,108,108,913.121000000001,913.121000000001
2017-03-12,2019-11-03,138,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,81,81,783.512000000002,783.512000000002
2017-03-12,2019-11-10,139,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,40,90,90,817.981000000001,817.981000000001
2017-03-12,2019-11-17,140,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,39,88,88,667.371000000001,667.371000000001
2017-03-12,2019-11-24,141,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,47,86,86,528.46,528.46
2017-03-12,2019-12-01,142,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,85,85,810.002000000002,810.002000000002
2017-03-12,2019-12-08,143,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,40,82,82,528.29,528.29
