time,merchant_name,cohort_size
2019-11-03,214_qdoba_qdoba,1498
2019-11-10,214_qdoba_qdoba,1450
2019-11-17,214_qdoba_qdoba,1448
2019-11-24,214_qdoba_qdoba,1354
2019-12-01,214_qdoba_qdoba,1374
2019-12-08,214_qdoba_qdoba,1514
2019-12-15,214_qdoba_qdoba,1420
2019-12-22,214_qdoba_qdoba,1136
2019-12-29,214_qdoba_qdoba,1310
2020-01-05,214_qdoba_qdoba,1329
2020-01-12,214_qdoba_qdoba,1293
2020-01-19,214_qdoba_qdoba,1336
2020-01-26,214_qdoba_qdoba,1286
2020-02-02,214_qdoba_qdoba,1287
2020-02-09,214_qdoba_qdoba,1422
2020-02-16,214_qdoba_qdoba,1422
2020-02-23,214_qdoba_qdoba,1525
2017-01-01,258_moes_southwest_grill_moes_southwest_grill,3162
2017-01-08,258_moes_southwest_grill_moes_southwest_grill,3161
2017-01-15,258_moes_southwest_grill_moes_southwest_grill,3603
2017-01-22,258_moes_southwest_grill_moes_southwest_grill,3498
2017-01-29,258_moes_southwest_grill_moes_southwest_grill,3544
2017-02-05,258_moes_southwest_grill_moes_southwest_grill,3429
2017-02-12,258_moes_southwest_grill_moes_southwest_grill,3697
2017-02-19,258_moes_southwest_grill_moes_southwest_grill,4114
2017-02-26,258_moes_southwest_grill_moes_southwest_grill,3935
2017-03-05,258_moes_southwest_grill_moes_southwest_grill,3964
2017-03-12,258_moes_southwest_grill_moes_southwest_grill,3746
2017-03-19,258_moes_southwest_grill_moes_southwest_grill,3881
2017-03-26,258_moes_southwest_grill_moes_southwest_grill,3734
2017-04-02,258_moes_southwest_grill_moes_southwest_grill,3751
2017-04-09,258_moes_southwest_grill_moes_southwest_grill,3818
2017-04-16,258_moes_southwest_grill_moes_southwest_grill,3527
2017-04-23,258_moes_southwest_grill_moes_southwest_grill,3721
2017-04-30,258_moes_southwest_grill_moes_southwest_grill,3883
2017-05-07,258_moes_southwest_grill_moes_southwest_grill,3851
2017-05-14,258_moes_southwest_grill_moes_southwest_grill,3521
2017-05-21,258_moes_southwest_grill_moes_southwest_grill,3395
2017-05-28,258_moes_southwest_grill_moes_southwest_grill,3298
2017-06-04,258_moes_southwest_grill_moes_southwest_grill,3501
2017-06-11,258_moes_southwest_grill_moes_southwest_grill,3348
2017-06-18,258_moes_southwest_grill_moes_southwest_grill,3281
2017-06-25,258_moes_southwest_grill_moes_southwest_grill,3405
2017-07-02,258_moes_southwest_grill_moes_southwest_grill,3166
2017-07-09,258_moes_southwest_grill_moes_southwest_grill,3415
2017-07-16,258_moes_southwest_grill_moes_southwest_grill,3355
2017-07-23,258_moes_southwest_grill_moes_southwest_grill,3228
2017-07-30,258_moes_southwest_grill_moes_southwest_grill,3376
2017-08-06,258_moes_southwest_grill_moes_southwest_grill,3339
2017-08-13,258_moes_southwest_grill_moes_southwest_grill,3265
2017-08-20,258_moes_southwest_grill_moes_southwest_grill,3166
2017-08-27,258_moes_southwest_grill_moes_southwest_grill,3020
2017-09-03,258_moes_southwest_grill_moes_southwest_grill,2909
2017-09-10,258_moes_southwest_grill_moes_southwest_grill,2857
2017-09-17,258_moes_southwest_grill_moes_southwest_grill,3640
2017-09-24,258_moes_southwest_grill_moes_southwest_grill,3135
2017-10-01,258_moes_southwest_grill_moes_southwest_grill,3140
2017-10-08,258_moes_southwest_grill_moes_southwest_grill,2981
2017-10-15,258_moes_southwest_grill_moes_southwest_grill,2968
2017-10-22,258_moes_southwest_grill_moes_southwest_grill,2920
2017-10-29,258_moes_southwest_grill_moes_southwest_grill,2704
2017-11-05,258_moes_southwest_grill_moes_southwest_grill,2615
2017-11-12,258_moes_southwest_grill_moes_southwest_grill,2593
2017-11-19,258_moes_southwest_grill_moes_southwest_grill,2407
2017-11-26,258_moes_southwest_grill_moes_southwest_grill,2368
2017-12-03,258_moes_southwest_grill_moes_southwest_grill,2716
2017-12-10,258_moes_southwest_grill_moes_southwest_grill,2469
2017-12-17,258_moes_southwest_grill_moes_southwest_grill,2662
2017-12-24,258_moes_southwest_grill_moes_southwest_grill,1958
2017-12-31,258_moes_southwest_grill_moes_southwest_grill,1906
